State,City,Neighborhood,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0052E,DP03_0002E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0024E,DP03_0096E,DP03_0025E,B09019_003E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,S1501_C01_009E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S2503_C01_013E,S2503_C01_024E,S2701_C01_031E,S2701_C01_032E,S2701_C01_033E,S2701_C01_034E,S2701_C01_035E,Vibe,Activities
Arizona,Pheonix,Ahwatukee Foothills,36305.42857142857,18073.42857142857,18232.0,2105.5714285714284,2332.285714285714,2780.5714285714284,2416.8571428571427,2097.285714285714,5467.714285714285,4942.142857142857,5259.285714285715,2414.8571428571427,2093.5714285714284,2810.8571428571427,1227.0,357.42857142857144,38.51428571428572,21155.714285714286,3485.714285714286,1046.428571428571,2609.5714285714284,982.8571428571428,464.1428571428572,142.28571428571428,19864.14285714286,13048.714285714286,1583.142857142857,204.57142857142856,125.57142857142856,3568.1428571428573,32933.857142857145,25.7,13262.0,13998.0,55.85714285714285,1214.142857142857,3154.0,4774.0,3163.5714285714284,1118.142857142857,260.1428571428572,163.71428571428572,46.42857142857143,48.0,4276.857142857143,2274.8571428571427,6852.285714285715,4169.285714285715,107436.57142857143,1736.142857142857,30883.0,5300.0,2886.714285714286,2413.285714285714,3142.428571428572,Suburban tranquility with a desert charm; ideal for outdoor enthusiasts and families.,Hike South Mountain Park and Preserve. Golf at Ahwatukee Country Club. Shop and dine at Ahwatukee Foothills Towne Center.
Arizona,Pheonix,Alahambra,35381.0,17772.5,17608.5,2461.8,2427.7,2406.4,2657.7,2862.1,5657.5,4854.9,4197.8,1930.7,1755.4,2498.7,1128.2,542.1,34.55,18894.3,2922.4,1115.1,1197.6,160.9,193.7,48.5,18282.5,11125.5,2131.6,656.3,342.8,1846.1,29098.0,25.62,13577.8,14702.3,49.0,645.1,866.7,1166.6,2269.7,3435.4,2605.7,2744.2,639.3,280.6,5523.6,1653.3,3687.9,2157.9,59168.2,1198.3,27576.1,7620.9,2533.2,5087.7,5077.3,Culturally diverse and affordable; a mix of urban and suburban living.,Explore Phoenix Art Museum nearby. Dine at authentic Mexican and Asian eateries. Visit the historic Encanto Park.
Arizona,Pheonix,Camelback East,32076.5,16685.916666666668,15390.583333333334,1452.4166666666667,1355.3333333333333,1429.5833333333333,2109.0,3497.75,6624.583333333333,4066.0,3489.833333333333,1831.8333333333333,1697.25,2499.333333333333,1324.4166666666667,699.1666666666666,38.375,21947.166666666668,1687.25,728.9166666666666,1433.1666666666667,533.75,295.1666666666667,119.5,19342.166666666668,12044.583333333334,1396.5833333333333,477.0833333333333,495.9166666666667,3174.1666666666665,28007.33333333333,21.8,14555.75,16415.666666666668,85.83333333333333,1650.9166666666667,1634.25,1621.9166666666667,2273.333333333333,3253.0,2627.5,2496.1666666666665,499.0833333333333,273.6666666666667,3625.5833333333335,1509.5833333333333,6362.25,4023.75,82302.91666666667,1473.4166666666667,26959.58333333333,4899.416666666667,1903.9166666666667,2995.5,3376.1666666666665,"Upscale and trendy, with scenic views of Camelback Mountain.",Hike Camelback Mountain’s Echo Canyon Trail. Visit Desert Botanical Garden. Shop at Biltmore Fashion Park.
Arizona,Pheonix,Central City,26470.625,13832.0,12638.625,1782.875,1764.625,1894.875,2223.75,2351.25,5258.0,3700.75,3044.625,1302.375,1111.25,1267.75,576.125,192.375,31.5,12899.25,2554.0,839.125,471.25,125.0,63.375,55.75,13620.875,8193.5,1821.75,540.0,267.125,1459.375,19927.875,22.4,9365.375,10300.75,70.0,883.125,1220.625,882.625,1016.0,1351.5,1505.875,1710.75,810.125,850.125,4389.875,886.0,2244.875,1265.25,53035.0,1170.5,19272.125,6470.875,1751.875,4719.0,2819.375,The heart of Phoenix with a bustling downtown atmosphere.,Explore Roosevelt Row for street art and galleries. Catch a game or concert at Footprint Center. Visit the Arizona Science Center and Heritage Square.
Arizona,Pheonix,Deer Valley,34242.63636363636,16957.272727272728,17285.363636363636,1997.0,2088.818181818182,2153.181818181818,2049.454545454545,2024.0,5237.363636363636,4627.818181818182,4747.818181818182,2351.090909090909,2026.7272727272727,3132.818181818182,1303.7272727272727,502.8181818181818,38.37272727272727,26214.90909090909,1243.8181818181818,470.3636363636364,1743.090909090909,758.0909090909091,256.8181818181818,22.63636363636364,19017.727272727272,12320.363636363636,1552.5454545454545,158.54545454545453,274.8181818181818,3220.181818181818,31161.36363636364,26.80909090909091,13524.363636363636,14274.818181818182,55.18181818181818,1087.3636363636365,3209.909090909091,3495.0,3299.3636363636365,2578.818181818182,355.27272727272725,109.27272727272728,30.818181818181817,53.81818181818182,5092.727272727273,2520.818181818182,5442.363636363636,3230.0,92294.18181818182,1580.3636363636365,29982.36363636364,4047.909090909091,2234.181818181818,1813.7272727272727,3987.4545454545455,Suburban and family-oriented with easy access to nature.,Discover Cave Buttes Recreation Area. Tour the Musical Instrument Museum. Relax at Deer Valley Petroglyph Preserve.
Arizona,Pheonix,Desert View,29235.88888888889,14278.444444444443,14957.444444444443,1457.5555555555557,1559.3333333333333,1925.4444444444443,1888.4444444444443,1354.4444444444443,2957.333333333333,3622.222222222222,4616.111111111111,2246.555555555556,1877.2222222222224,3334.1111111111118,1861.6666666666667,535.4444444444445,42.78888888888889,24252.555555555555,614.8888888888889,88.33333333333333,1699.2222222222222,674.4444444444445,263.22222222222223,18.33333333333333,15278.888888888889,9358.0,867.2222222222222,32.666666666666664,146.33333333333334,3813.222222222222,27608.222222222223,24.75555555555556,11954.0,13538.666666666666,123.33333333333331,2250.8888888888887,5067.111111111111,4467.333333333333,1152.111111111111,317.0,59.66666666666666,45.44444444444444,23.666666666666668,32.111111111111114,2701.8888888888887,1726.6666666666667,7101.555555555556,4809.333333333333,112751.66666666669,1945.888888888889,25755.555555555555,3267.8888888888887,2075.8888888888887,1192.0,2511.0,"Peaceful and modern, with wide-open desert spaces.",Explore Cave Creek Regional Park. Dine at upscale Desert Ridge Marketplace. Attend outdoor concerts at the Musical Instrument Museum.
Arizona,Pheonix,Encanto,27823.090909090908,14420.636363636364,13402.454545454546,1703.0,1679.4545454545455,1746.4545454545455,1838.1818181818185,2278.6363636363635,5739.636363636364,3959.181818181818,3332.5454545454545,1434.7272727272727,1267.4545454545455,1771.7272727272727,782.8181818181819,289.27272727272725,34.018181818181816,15497.454545454546,2188.5454545454545,834.0,772.0909090909091,210.27272727272728,134.1818181818182,53.09090909090909,15377.0,9383.09090909091,1603.5454545454545,578.9090909090909,336.90909090909093,2059.3636363636365,22284.272727272728,22.772727272727277,11296.0,12562.636363636364,84.63636363636364,997.181818181818,1108.5454545454545,1013.818181818182,1207.090909090909,2016.5454545454545,2023.8181818181815,2370.0,1012.4545454545456,728.5454545454545,4117.545454545455,1225.3636363636365,3587.2727272727275,2178.0,59805.09090909091,1257.2727272727273,21208.454545454544,6012.0,1849.636363636364,4162.363636363636,3053.818181818182,Historic charm meets central convenience.,Stroll through Encanto Park and its golf courses. Visit Heard Museum for Native American art. Check out Midtown restaurants and cafes.
Arizona,Pheonix,Estrella,48059.71428571428,24458.42857142857,23601.285714285717,3723.571428571429,4099.285714285715,4458.714285714285,4440.285714285715,3703.285714285714,7605.714285714285,7184.714285714285,5530.571428571428,2145.285714285714,1595.142857142857,2423.0,919.4285714285714,230.7142857142857,29.62857142857143,20486.285714285717,5141.428571428572,1665.2857142857142,889.7142857142857,118.71428571428572,98.85714285714286,111.57142857142856,22924.571428571428,15220.857142857143,2971.5714285714284,387.8571428571428,157.57142857142858,2283.428571428572,38984.28571428572,29.214285714285715,13359.285714285714,13879.42857142857,147.14285714285714,1647.428571428571,6376.428571428572,688.5714285714286,1128.142857142857,1855.4285714285716,693.8571428571429,787.7142857142857,377.57142857142856,177.14285714285714,8578.0,2275.428571428572,2702.1428571428573,1593.142857142857,75022.0,1376.428571428571,36054.42857142857,11402.714285714286,4455.0,6947.714285714285,4662.0,Growing suburban area with natural beauty.,Visit Estrella Mountain Regional Park for hiking and biking. Attend community events at Estrella Lakeside Amphitheater. Golf at Tres Rios Golf Course.
Arizona,Pheonix,Laveen,47981.4,24570.0,23411.4,3500.6,3705.4,4201.0,3838.4,3136.8,7450.0,6954.0,5924.8,2666.0,2324.0,2889.2,1110.6,280.6,33.36,21330.4,5292.4,1477.8,1604.6,459.2,229.6,101.0,22983.6,14760.8,2864.8,414.0,194.8,2661.8,39191.8,27.62,14292.8,15037.2,173.8,1356.8,5452.6,2093.8,1510.6,1352.6,1020.2,1343.0,513.2,220.6,7987.6,2259.0,4324.2,2571.4,78073.6,1422.0,35616.0,11510.0,4409.6,7100.4,5038.6,Rural feel with new suburban developments.,Visit South Mountain for hiking and views. Explore local farms and farmers markets. Try authentic Mexican food spots.
Arizona,Pheonix,Maryvale,38732.16666666666,19710.916666666668,19021.25,2707.0,3075.333333333333,3447.0,3567.6666666666665,3444.583333333333,5938.25,5457.916666666667,4551.166666666667,1927.9166666666667,1633.25,1865.5833333333333,824.1666666666666,292.3333333333333,30.291666666666668,18986.0,2614.6666666666665,865.5,838.5,78.41666666666667,113.83333333333331,66.0,18928.58333333333,12357.416666666666,2663.4166666666665,376.6666666666667,179.16666666666666,1460.9166666666667,30140.58333333333,28.525,11352.083333333334,11924.333333333334,119.58333333333331,764.3333333333334,2591.833333333333,1467.5833333333333,1669.1666666666667,2177.083333333333,1342.5833333333333,1386.5,257.5833333333333,148.08333333333334,6862.666666666667,1684.3333333333333,2112.75,1092.9166666666667,68944.08333333333,1311.3333333333333,27994.25,10235.5,3328.833333333333,6906.666666666667,4365.583333333333,"Vibrant and diverse, with an emphasis on community.",Catch a spring training game at American Family Fields. Dine at international cuisine spots. Visit Desert Sky Mall for shopping.
